"","A","D","H","results","B365H","B365D","B365A"
"1787",0.06,0.22,0.72,"H",2,3.2,3.75
"1788",0.29,0.15,0.56,"D",2.2,3.25,2.8
"1789",0,0.01,0.99,"H",1.25,5.5,11
"1790",0.11,0.06,0.83,"H",1.25,5,13
"1791",0.05,0.19,0.76,"H",0,0,0
"1792",0.04,0.1,0.86,"H",1.5,3.5,6
"1793",0.12,0.53,0.35,"H",2.1,3.25,3.4
"1794",0.25,0.03,0.72,"H",2.62,3.2,2.62
"1795",0.06,0.17,0.77,"A",0,0,0
"1796",0.01,0.11,0.88,"H",1.533,3.5,5.5
"1797",0,0,1,"H",1.3,4.5,12
"1798",0.07,0.03,0.9,"H",0,0,0
"1799",0.04,0.57,0.39,"D",2.375,2.875,2.875
"1800",0.18,0.04,0.78,"A",2.5,3.2,2.75
"1801",0.46,0.06,0.48,"H",0,0,0
"1802",0.02,0,0.98,"H",0,0,0
"1803",0.3,0.14,0.56,"H",4,3.5,1.727
"1804",0.04,0.13,0.83,"H",2.62,3.25,2.6
"1805",0.09,0.15,0.76,"H",1.28,5,10
"1806",0.06,0.1,0.84,"H",0,0,0
"1807",0.06,0.28,0.66,"D",1.833,3.25,3.75
"1808",0.61,0.11,0.28,"A",4.5,3.6,1.72
"1809",0.59,0.08,0.33,"A",3,3.25,2.3
"1810",0.19,0.61,0.2,"A",2.25,3.25,2.75
"1811",0.01,0.69,0.3,"D",2.6,3.25,2.6
"1812",0.05,0.05,0.9,"H",0,0,0
"1813",0.11,0.14,0.75,"D",2.5,3.2,2.5
"1814",0.78,0.18,0.04,"A",6.5,3.5,1.57
"1815",0.42,0.3,0.28,"A",5.5,3.4,1.66
"1816",0.81,0.14,0.05,"A",0,0,0
"1817",0.62,0.23,0.15,"H",3,3.25,2.1
"1818",0.63,0.05,0.32,"A",0,0,0
"1819",0.56,0.11,0.33,"A",2,3.2,3.75
"1820",0.19,0.03,0.78,"A",0,0,0
"1821",0.12,0.09,0.79,"D",1.615,3.6,4.5
"1822",0.37,0.29,0.34,"D",2.3,3.25,3
"1823",0.12,0.52,0.36,"H",2.62,3.2,2.6
"1824",0.08,0.13,0.79,"D",0,0,0
"1825",0.18,0.03,0.79,"H",1.909,3.25,3.5
"1826",0.05,0.68,0.27,"H",2.2,3.25,3.2
"1827",0.42,0.4,0.18,"A",2.37,3.2,2.9
"1828",0.05,0.76,0.19,"D",2.6,3.25,2.6
"1829",0.03,0.66,0.31,"D",2.3,3.25,3
"1830",0.09,0.54,0.37,"D",2.37,3.2,2.9
"1831",0.36,0.17,0.47,"H",4,3.25,1.8
"1832",0,0,1,"H",1.53,3.6,7
"1833",0,0.02,0.98,"H",1.36,4.33,9
"1834",0.38,0.24,0.38,"A",2.4,3.25,2.8
"1835",0.15,0.06,0.79,"A",2.1,3.25,3.4
"1836",0,0.07,0.93,"H",1.22,5.5,13
"1837",0.43,0.1,0.47,"H",0,0,0
"1838",0.12,0.53,0.35,"A",1.9,3.25,4
"1839",0.16,0.33,0.51,"A",2.4,3.2,2.6
"1840",0.02,0.35,0.63,"D",1.8,3.4,4.5
"1841",0.1,0.55,0.35,"D",1.53,3.75,6.5
"1842",0.22,0.03,0.75,"H",2.1,3.25,3.4
"1843",0.22,0.25,0.53,"D",5,3.4,1.72
"1844",0.23,0.35,0.42,"A",1.57,3.5,6.5
"1845",0.02,0.05,0.93,"H",1.8,3.3,4.5
"1846",0.03,0.19,0.78,"H",0,0,0
"1847",0.06,0.42,0.52,"D",2.8,3.25,2.4
"1848",0.03,0.04,0.93,"H",1.28,4.5,13
"1849",0.31,0.15,0.54,"A",7.5,3.6,1.5
"1850",0.08,0.18,0.74,"H",1.61,3.4,6
"1851",0.05,0.13,0.82,"D",2.87,3.25,2.4
"1852",0.72,0.25,0.03,"A",6.5,3.75,1.53
"1853",0.58,0.08,0.34,"H",6,3.4,1.61
"1854",0.06,0.21,0.73,"H",2.6,3.25,2.6
"1855",0.12,0.35,0.53,"A",2.37,3.1,3
"1856",0.06,0.21,0.73,"H",1.9,3.25,4
"1857",0.05,0.23,0.72,"D",2.25,3.25,2.75
"1858",0.06,0.05,0.89,"D",1.57,3.5,6.5
"1859",0.14,0.59,0.27,"A",2.6,3.25,2.6
"1860",0.18,0.03,0.79,"H",1.72,3.4,5
"1861",0.19,0.33,0.48,"A",2.3,3.25,3
"1862",0.09,0.04,0.87,"A",2.1,3.2,3.5
"1863",0.22,0.22,0.56,"D",0,0,0
"1864",0.35,0.04,0.61,"H",4.5,3.3,1.8
"1865",0.1,0.19,0.71,"H",2.25,3.25,2.75
"1866",0.06,0.05,0.89,"H",2.1,3.25,3.4
"1867",0.52,0.33,0.15,"A",3.75,3.5,1.9
"1868",0.08,0.13,0.79,"A",2.25,3.2,3.1
"1869",0.05,0.1,0.85,"D",2.8,3.1,2.5
"1870",0.22,0.06,0.72,"A",3,3.25,2.3
"1871",0.14,0.09,0.77,"H",1.83,3.25,4.5
"1872",0.04,0,0.96,"H",1.2,6,13
"1873",0.24,0.04,0.72,"A",3.2,3.25,2.2
"1874",0.05,0.14,0.81,"H",0,0,0
"1875",0.29,0.05,0.66,"H",2.5,3.2,2.75
"1876",0.1,0.09,0.81,"D",1.615,3.4,5
"1877",0.04,0.07,0.89,"H",1.83,3.3,4.33
"1878",0.49,0.11,0.4,"H",2.5,3.2,2.75
"1879",0.82,0.04,0.14,"H",3.25,3.2,2.2
"1880",0,0,1,"H",1.33,4.5,9.5
"1881",0.07,0.22,0.71,"H",1.667,3.5,4.333
"1882",0.07,0.08,0.85,"H",1.57,3.5,6.5
"1883",0.04,0.14,0.82,"H",2.5,3.2,2.75
"1884",0.16,0.07,0.77,"A",4.5,3.3,1.8
"1885",0.04,0.28,0.68,"D",1.66,3.4,5.5
"1886",0.06,0.01,0.93,"H",2.25,3.2,3.1
"1887",0.25,0.05,0.7,"A",2.8,3.1,2.5
"1888",0.06,0.11,0.83,"D",0,0,0
"1889",0.42,0.31,0.27,"A",2.5,3.2,2.75
"1890",0.09,0.05,0.86,"H",2.1,3.25,3.4
"1891",0.07,0.05,0.88,"H",2.37,3.25,2.87
"1892",0.72,0.07,0.21,"A",5,3.3,1.72
"1893",0.78,0.04,0.18,"A",7,3.75,1.5
"1894",0.57,0.32,0.11,"D",0,0,0
"1895",0.19,0.19,0.62,"A",2.5,3.25,2.7
"1896",0.03,0.06,0.91,"H",2,3.2,3.75
"1897",0.09,0.14,0.77,"D",1.72,3.4,5
"1898",0.03,0.14,0.83,"H",1.33,4.33,10
"1899",0.16,0.48,0.36,"A",2.4,3.2,2.87
"1900",0.02,0.17,0.81,"D",1.83,3.3,4.33
"1901",0.08,0.27,0.65,"H",0,0,0
"1902",0.07,0.37,0.56,"H",1.66,3.4,5.5
"1903",0.28,0.12,0.6,"H",1.66,3.4,5.5
"1904",0.85,0.02,0.13,"A",3.1,3.2,2.25
"1905",0.28,0.09,0.63,"H",4,3.25,1.9
"1906",0.03,0.11,0.86,"D",1.3,4.5,12
"1907",0,0.03,0.97,"H",1.44,4,7.5
"1908",0.11,0.03,0.86,"A",2.1,3.2,3.5
"1909",0.01,0.01,0.98,"H",1.3,4.5,11
"1910",0.36,0.42,0.22,"H",0,0,0
"1911",0.14,0.37,0.49,"A",2.37,3.25,2.87
"1912",0,0.08,0.92,"H",1.25,5,9
"1913",0.24,0.11,0.65,"A",2.5,3.2,2.75
"1914",0.09,0.07,0.84,"H",2.3,3.25,3
"1915",0.83,0.05,0.12,"A",2.87,3.1,2.5
"1916",0.43,0.06,0.51,"D",2.5,3.2,2.75
"1917",0.14,0.19,0.67,"A",5,3.4,1.72
"1918",0.13,0.18,0.69,"H",0,0,0
"1919",0,0,1,"H",1.2,5.5,17
"1920",0.07,0.04,0.89,"H",1.66,3.4,5.5
"1921",0.17,0.02,0.81,"H",1.667,3.5,4.333
"1922",0.47,0.13,0.4,"A",6,3.5,1.61
"1923",0.45,0.27,0.28,"A",3.5,3.2,2.1
"1924",0,0.02,0.98,"H",1.22,5.5,13
"1925",0.17,0.02,0.81,"A",2,3.2,3.75
"1926",0.07,0.43,0.5,"D",4,3.25,1.9
"1927",0.07,0.03,0.9,"H",1.22,5.5,13
"1928",0.51,0.47,0.02,"D",7.5,4.33,1.4
"1929",0.03,0.37,0.6,"D",0,0,0
"1930",0.12,0.21,0.67,"D",2.1,3.25,3.4
"1931",0.03,0.15,0.82,"D",1.727,3.25,4.333
"1932",0.1,0.53,0.37,"D",1.44,4,7.5
"1933",0.91,0.05,0.04,"A",6,3.6,1.57
"1934",0.27,0.03,0.7,"A",2.1,3.25,3.4
"1935",0.07,0.26,0.67,"D",5.5,3.6,1.61
"1936",0.01,0.07,0.92,"H",1.22,5.5,13
"1937",0.01,0.02,0.97,"H",1.4,4.33,7.5
"1938",0.17,0.07,0.76,"H",0,0,0
"1939",0.43,0.18,0.39,"D",2.25,3.25,3.1
"1940",0.07,0.32,0.61,"H",2.4,3.2,2.87
"1941",0.12,0.13,0.75,"H",1.8,3.4,3.75
"1942",0.06,0.12,0.82,"H",1.83,3.25,4.5
"1943",0.07,0.14,0.79,"D",1.66,3.4,5.5
"1944",0.13,0.19,0.68,"A",2.6,3.25,2.6
"1945",0.04,0.33,0.63,"H",2,3.2,3.75
"1946",0.11,0.04,0.85,"A",2.2,3.2,3.25
"1947",0.35,0.1,0.55,"H",2.4,3.2,2.87
"1948",0.04,0.47,0.49,"D",0,0,0
"1949",0.28,0.13,0.59,"A",2.5,3.2,2.75
"1950",0.04,0.17,0.79,"H",1.8,3.25,4
"1951",0.47,0.11,0.42,"A",2.25,3.25,3.1
"1952",0.91,0.03,0.06,"A",9,4,1.4
"1953",0.37,0.1,0.53,"A",2.5,3.1,2.8
"1954",0.01,0.01,0.98,"H",1.33,4.33,8
"1955",0.03,0.77,0.2,"D",2.1,3.25,3.4
"1956",0.04,0.06,0.9,"H",2,3.2,3.75
"1957",0.2,0.1,0.7,"H",2.37,3.25,2.87
"1958",0.62,0.11,0.27,"H",4.5,3.3,1.8
"1959",0.07,0.54,0.39,"H",2.3,3.2,2.7
"1960",0.08,0.08,0.84,"H",2.1,3.2,3.5
"1961",0.04,0.12,0.84,"H",2.25,3.2,3.1
"1962",0.31,0.14,0.55,"H",5.5,3.5,1.66
"1963",0.24,0.09,0.67,"A",2.3,3.25,3
"1964",0.06,0.17,0.77,"D",1.61,3.4,6
"1965",0.02,0.07,0.91,"D",1.16,6.5,15
"1966",0.04,0.05,0.91,"H",2.1,3.2,3.5
"1967",0.07,0.11,0.82,"D",1.83,3.3,4.33
"1968",0.14,0.09,0.77,"H",2.75,3.2,2.5
"1969",0.07,0.28,0.65,"A",1.4,4.33,7.5
"1970",0.01,0.01,0.98,"H",0,0,0
"1971",0.29,0.04,0.67,"H",4,3.25,1.9
"1972",0.05,0.07,0.88,"H",1.72,3.3,5
"1973",0.62,0.22,0.16,"A",4.33,3.4,1.66
"1974",0.06,0.34,0.6,"D",1.3,4.5,12
"1975",0.02,0.11,0.87,"H",2.1,3.25,3.4
"1976",0.1,0.76,0.14,"D",2.8,3.25,2.4
"1977",0.28,0.16,0.56,"D",1.9,3.25,4
"1978",0.06,0.08,0.86,"A",2.25,3.2,3.1
"1979",0.3,0.13,0.57,"H",2.9,3.2,2.37
"1980",0,0.75,0.25,"D",3.6,3.4,1.83
"1981",0.07,0.02,0.91,"H",1.5,3.75,7
"1982",0.02,0.08,0.9,"H",1.9,3,4.5
"1983",0.39,0.1,0.51,"H",4.5,3.3,1.8
"1984",0.35,0.09,0.56,"A",2.2,3.2,3.25
"1985",0.07,0.02,0.91,"H",1.83,3.3,4.33
"1986",0.17,0.29,0.54,"H",0,0,0
"1987",0.72,0.08,0.2,"H",7.5,4.33,1.4
"1988",0.8,0,0.2,"A",6,3.8,1.53
"1989",0.08,0.03,0.89,"H",1.2,5.5,10
"1990",0.79,0.05,0.16,"H",8.5,4.5,1.36
"1991",0.5,0.06,0.44,"A",3.75,3.2,2
"1992",0.01,0.38,0.61,"H",1.9,3.25,4
"1993",0.23,0.06,0.71,"H",2.1,3.1,3.6
"1994",0.02,0.17,0.81,"D",1.66,3.6,5
"1995",0.01,0.67,0.32,"D",1.9,3.25,4
"1996",0.05,0.41,0.54,"D",0,0,0
"1997",0.06,0.03,0.91,"H",2.3,3.2,2.7
"1998",0.88,0.03,0.09,"A",5.5,3.4,1.66
"1999",0.1,0.13,0.77,"H",1.14,7,17
"2000",0.06,0.14,0.8,"H",1.72,3.6,4.5
"2001",0.65,0.08,0.27,"A",0,0,0
"2002",0.11,0.16,0.73,"H",2.2,3.25,3.25
"2003",0,0.07,0.93,"H",1.36,4,7.5
"2004",0.14,0.43,0.43,"H",2.3,3.25,3
"2005",0.05,0.32,0.63,"D",2.1,3.25,3.4
"2006",0.03,0.22,0.75,"H",1.9,3.3,4
"2007",0.6,0.31,0.09,"A",5,3.6,1.66
"2008",0.01,0.08,0.91,"H",1.83,3.25,4.5
"2009",0.15,0.35,0.5,"H",2,3.25,3.75
"2010",0.04,0.35,0.61,"D",2.25,3.25,2.75
"2011",0,0,1,"H",1.72,3.25,4.33
"2012",0.12,0.06,0.82,"H",1.83,3.25,4.5
"2013",0.07,0.13,0.8,"H",1.4,4.33,7.5
"2014",0.04,0.22,0.74,"H",1.3,4.5,9.5
"2015",0.54,0.15,0.31,"A",3.25,3.2,2.2
"2016",0.25,0.55,0.2,"D",4.5,3.4,1.8
"2017",0.03,0.08,0.89,"H",1.33,4.5,9.5
"2018",0.29,0.01,0.7,"A",2,3.2,3.75
"2019",0.74,0.07,0.19,"H",8,4.2,1.4
"2020",0.93,0,0.07,"A",2.87,3.25,2.37
"2021",0.04,0.24,0.72,"D",1.533,3.5,5.5
"2022",0.03,0.49,0.48,"D",2.7,3.25,2.5
"2023",0.57,0.27,0.16,"A",5,3.6,1.66
"2024",0.07,0.13,0.8,"H",2.3,3.25,3
"2025",0,0.02,0.98,"H",1.18,6,17
"2026",0.03,0.03,0.94,"H",1.44,4,7.5
"2027",0.08,0.11,0.81,"H",1.28,5.5,8.5
"2028",0.66,0.28,0.06,"D",9,5,1.3
"2029",0.89,0.08,0.03,"A",4,3.25,1.9
"2030",0.16,0.09,0.75,"H",2.25,3.25,2.75
"2031",0.11,0.09,0.8,"A",1.8,3.3,4.5
"2032",0.09,0.02,0.89,"H",1.72,3.4,5
"2033",0.45,0.18,0.37,"H",2.62,3.2,2.6
"2034",0.06,0,0.94,"H",0,0,0
"2035",0.53,0.3,0.17,"D",2.5,3.2,2.75
"2036",0.57,0.16,0.27,"D",2.1,3.25,3
"2037",0.1,0.03,0.87,"H",2.375,3.25,2.875
"2038",0.34,0.08,0.58,"H",6.5,3.5,1.57
"2039",0.11,0.22,0.67,"D",1.9,3.25,4
"2040",0.45,0.12,0.43,"H",2.1,3.2,3.5
"2041",0.13,0.07,0.8,"D",0,0,0
"2042",0.01,0.05,0.94,"H",1.22,5.5,13
"2043",0.26,0.11,0.63,"A",2.5,3.25,2.7
"2044",0.2,0.08,0.72,"H",2.2,3.1,3.4
"2045",0.83,0.11,0.06,"A",5.5,3.6,1.61
"2046",0.93,0.06,0.01,"A",2.5,3.25,2.7
"2047",0.13,0.08,0.79,"H",2,3.25,3.75
"2048",0.12,0.13,0.75,"H",1.83,3.3,4.33
"2049",0.08,0.09,0.83,"H",1.72,3.6,4.5
"2050",0.08,0.24,0.68,"H",2.1,3.2,3.5
"2051",0.06,0.05,0.89,"H",2.4,3,3
"2052",0.67,0.31,0.02,"A",3.25,3.2,2.2
"2053",0.66,0.23,0.11,"A",0,0,0
"2054",0.73,0.18,0.09,"A",5.5,3.5,1.533
"2055",0.1,0.31,0.59,"H",2.5,3.25,2.5
"2056",0.46,0.09,0.45,"A",4,3.2,1.83
"2057",0.16,0.68,0.16,"D",2.5,3.25,2.5
"2058",0.06,0.15,0.79,"H",1.9,3.25,3.6
"2059",0.18,0.16,0.66,"H",2.5,3.25,2.5
"2060",0.03,0.03,0.94,"H",1.83,3.3,4.33
"2061",0.08,0.06,0.86,"D",2.1,3.25,3.4
"2062",0.05,0.04,0.91,"H",1.72,3.4,5
"2063",0.07,0.05,0.88,"H",1.36,4.33,9
"2064",0.2,0.43,0.37,"A",2.1,3.25,3.4
"2065",0.77,0.22,0.01,"A",4.75,3.5,1.72
"2066",0.48,0.38,0.14,"D",2.5,3.2,2.75
"2067",0.01,0.04,0.95,"H",1.36,4.33,9
"2068",0.13,0.2,0.67,"A",1.9,3.25,4
"2069",0.16,0.07,0.77,"A",2.5,3.2,2.75
"2070",0.01,0.09,0.9,"H",1.57,3.5,6.5
"2071",0.13,0.09,0.78,"A",2.4,3.25,2.8
"2072",0.18,0.07,0.75,"H",1.61,3.6,5.5
"2073",0.64,0.29,0.07,"A",10,5,1.28
"2074",0.03,0.14,0.83,"D",1.57,3.8,5.5
"2075",0.82,0.06,0.12,"A",5.5,3.6,1.61
"2076",0.07,0.14,0.79,"H",1.909,3.25,3.5
"2077",0.03,0.21,0.76,"D",1.909,3.25,4
"2078",0.03,0.16,0.81,"H",1.53,3.8,6
"2079",0.1,0.16,0.74,"D",1.66,3.4,5.5
"2080",0.05,0.02,0.93,"H",1.2,6,13
"2081",0.65,0.17,0.18,"H",3,3.25,2.3
"2082",0.72,0.25,0.03,"A",5,3.8,1.61
"2083",0.13,0.25,0.62,"D",0,0,0
"2084",0.7,0.16,0.14,"H",4.5,3.6,1.72
"2085",0,0.02,0.98,"H",1.25,5.5,10
"2086",0.32,0.14,0.54,"A",0,0,0
"2087",0.14,0.1,0.76,"D",1.615,3.4,5
"2088",0.38,0.18,0.44,"A",4.5,3.3,1.8
"2089",0.03,0.44,0.53,"H",1.8,3.1,5
"2090",0.05,0.08,0.87,"D",1.727,3.5,4
"2091",0.05,0.08,0.87,"H",1.615,3.4,6
"2092",0.02,0.05,0.93,"H",1.615,3.4,5
"2093",0.02,0.23,0.75,"D",3.1,3.2,2.25
"2094",0.25,0.28,0.47,"D",1.533,3.5,5.5
"2095",0.86,0,0.14,"A",5.5,3.6,1.615
"2096",0.03,0.08,0.89,"H",1.8,3.4,4.33
"2097",0.04,0.11,0.85,"H",1.727,3.25,4.333
"2098",0.29,0.29,0.42,"H",3.1,3.2,2.25
"2099",0.08,0.14,0.78,"H",1.61,3.75,5.25
"2100",0,0.27,0.73,"H",2.25,3.2,3.1
"2101",0.12,0.63,0.25,"D",2.2,3.2,3.25
"2102",0.06,0.02,0.92,"A",1.9,3.25,4
"2103",0,0.11,0.89,"D",0,0,0
"2104",0.09,0.05,0.86,"H",1.727,3.5,4
"2105",0.19,0.04,0.77,"A",1.83,3.3,4.33
"2106",0.04,0.57,0.39,"H",2.6,3.25,2.6
"2107",0.06,0.13,0.81,"H",1.9,3.25,4
"2108",0.08,0.29,0.63,"H",1.8,3.25,4.5
"2109",0.03,0.66,0.31,"D",2.4,3.2,2.87
"2110",0.01,0.19,0.8,"D",0,0,0
"2111",0.15,0.07,0.78,"A",2.4,3.2,2.6
"2112",0.13,0.19,0.68,"D",2.1,3.25,3.4
"2113",0.02,0.25,0.73,"D",1.44,4,7.5
"2114",0.01,0.5,0.49,"D",1.66,3.6,5
"2115",0.03,0.01,0.96,"H",2,3.2,3.75
"2116",0.9,0.05,0.05,"A",7.5,4.33,1.4
"2117",0.38,0.46,0.16,"A",2.25,3.2,3.1
"2118",0.06,0.03,0.91,"H",2.1,3.1,3.6
"2119",0.02,0.32,0.66,"D",1.72,3.4,5
"2120",0.02,0.77,0.21,"D",1.9,3.25,4
"2121",0.02,0,0.98,"H",1.286,5,7.5
"2122",0.04,0.21,0.75,"H",1.667,3.4,5.5
"2123",0.11,0.4,0.49,"D",3.1,3.2,2.25
"2124",0.06,0.04,0.9,"H",1.28,5,10
"2125",0.01,0.01,0.98,"H",1.57,3.5,6.5
"2126",0.32,0.24,0.44,"H",2.3,3.1,3.1
"2127",0.25,0.53,0.22,"A",2.37,3.1,2.75
"2128",0.07,0.03,0.9,"H",1.9,3.25,4
"2129",0.84,0.06,0.1,"A",5.5,3.6,1.61
"2130",0.04,0.13,0.83,"H",1.8,3.3,4.5
"2131",0.05,0.04,0.91,"H",0,0,0
"2132",0,0.06,0.94,"D",1.4,4,9
"2133",0.7,0.04,0.26,"A",4.33,3.3,1.83
"2134",0.15,0.08,0.77,"H",4.5,3.25,1.83
"2135",0.2,0.36,0.44,"A",2.1,3.25,3.4
"2136",0.07,0.52,0.41,"D",1.8,3.3,4.5
"2137",0.02,0.12,0.86,"H",1.8,3.3,4.5
"2138",0.96,0.02,0.02,"A",12,4.5,1.3
"2139",0.32,0.04,0.64,"H",2.5,3.2,2.75
"2140",0.06,0.1,0.84,"H",2.37,3.1,3
"2141",0.05,0.04,0.91,"H",0,0,0
"2142",0.05,0.03,0.92,"H",2.3,3.1,3.1
"2143",0.08,0.09,0.83,"H",2.1,3.25,3
"2144",0.06,0.03,0.91,"H",2.8,3.1,2.5
"2145",0.04,0.12,0.84,"H",1.33,4.5,9.5
"2146",0.09,0.19,0.72,"H",2.6,3,2.8
"2147",0.11,0.08,0.81,"H",2,3.2,3.75
"2148",0.77,0.04,0.19,"H",5.5,3.6,1.61
"2149",0.84,0.08,0.08,"A",5.5,3.6,1.61
"2150",0.03,0.7,0.27,"D",2,3.4,3.5
"2151",0.04,0.01,0.95,"H",1.44,4,7.5
"2152",0.07,0.32,0.61,"D",2.1,3.2,3.5
"2153",0.03,0.03,0.94,"H",2.2,3.2,3.25
"2154",0.04,0.58,0.38,"D",1.83,3.3,4.33
"2155",0.13,0.62,0.25,"D",2.9,3.2,2.37
"2156",0.02,0.12,0.86,"H",2,3.2,3.75
"2157",0.04,0.02,0.94,"H",3.1,3.2,2.25
"2158",0.08,0.68,0.24,"D",0,0,0
"2159",0,0.01,0.99,"H",1.18,5.75,17
"2160",0.61,0.01,0.38,"A",2.5,3.2,2.5
"2161",0.01,0.03,0.96,"H",1.25,5,13
"2162",0.13,0.17,0.7,"A",2.3,3.1,3.1
"2163",0.16,0.24,0.6,"H",2.1,3.2,3.5
"2164",0.46,0.09,0.45,"D",3.75,3.2,2
"2165",0,0.02,0.98,"H",1.9,3.25,4
"2166",0.19,0.65,0.16,"D",2.37,3.2,2.9
"2167",0.17,0.02,0.81,"H",0,0,0
"2168",0.03,0.27,0.7,"D",1.8,3.3,4.5
"2169",0.02,0.03,0.95,"H",1.615,3.4,5
"2170",0.08,0,0.92,"H",2.1,3.25,3.4
"2171",0.54,0.05,0.41,"A",2.25,3.1,3.2
"2172",0.14,0.63,0.23,"D",2.7,3.25,2.5
"2173",0.37,0.16,0.47,"D",2.5,3.1,2.8
"2174",0.16,0.21,0.63,"A",2.2,3.1,3.3
"2175",0.5,0.35,0.15,"D",0,0,0
"2176",0.12,0.27,0.61,"A",1.83,3.3,4.33
"2177",0.1,0.05,0.85,"A",1.8,3.25,4
"2178",0.75,0.18,0.07,"D",2.7,3.25,2.5
"2179",0.07,0.16,0.77,"H",2.37,3.25,2.87
"2180",0.13,0.73,0.14,"D",1.44,4,7.5
"2181",0.03,0.15,0.82,"H",1.66,3.5,5
"2182",0.06,0.05,0.89,"H",1.9,3.25,4
"2183",0.06,0.32,0.62,"D",2.2,3.2,3.25
"2184",0.04,0.38,0.58,"H",2.4,3.2,2.87
"2185",0.21,0.33,0.46,"H",0,0,0
"2186",0.06,0.07,0.87,"H",2.2,3.1,3.3
"2187",0.75,0.03,0.22,"A",2.5,3.2,2.5
"2188",0.13,0.04,0.83,"H",2.1,3.25,3.4
"2189",0.04,0.05,0.91,"H",1.9,3.25,4
"2190",0.18,0.43,0.39,"H",1.9,3.25,4
"2191",0.1,0.06,0.84,"A",2.15,3.25,3.4
"2192",0.52,0.32,0.16,"D",2.625,3.2,2.375
"2193",0,0.11,0.89,"D",2.05,3.2,3.6
"2194",0.05,0.01,0.94,"H",1.53,4,6
"2195",0.46,0.4,0.14,"D",2.6,3.2,2.62
"2196",0.02,0.74,0.24,"D",2.62,3.2,2.6
"2197",0.46,0.02,0.52,"A",4.75,3.5,1.72
"2198",0.08,0.12,0.8,"D",0,0,0
"2199",0,0.25,0.75,"D",1.4,4.33,7.5
"2200",0.14,0.16,0.7,"A",2.4,3.2,2.87
"2201",0.02,0,0.98,"H",1.727,3.25,4.333
"2202",0.84,0.07,0.09,"A",6,3.8,1.53
"2203",0.1,0.11,0.79,"H",1.72,3.4,5
"2204",0.21,0.07,0.72,"A",1.8,3.4,4.33
"2205",0.47,0.1,0.43,"A",2.5,3.2,2.75
"2206",0.03,0.14,0.83,"H",1.33,4.5,9.5
"2207",0.45,0.07,0.48,"A",2.3,3.2,2.7
"2208",0.08,0.11,0.81,"D",2.37,3.25,2.87
"2209",0.42,0.04,0.54,"A",2.4,3.25,2.87
"2210",0.1,0.04,0.86,"H",1.72,3.4,5
"2211",0.05,0.02,0.93,"H",1.66,3.6,5
"2212",0.12,0.19,0.69,"A",2.3,3.25,3
"2213",0.55,0.11,0.34,"A",0,0,0
"2214",0.62,0.31,0.07,"H",4.2,3.4,1.83
"2215",0.15,0.16,0.69,"H",1.9,3.3,4
"2216",0.93,0.05,0.02,"A",7,3.75,1.5
"2217",0.05,0.35,0.6,"D",1.18,6,15
"2218",0,0,1,"H",1.18,6,15
"2219",0.5,0.08,0.42,"A",8,4.2,1.4
"2220",0.06,0.55,0.39,"D",2.5,3.25,2.7
"2221",0.39,0.08,0.53,"H",0,0,0
"2222",0.1,0.08,0.82,"H",2,3.2,3.75
"2223",0.29,0.07,0.64,"H",2.5,3.2,2.5
"2224",0.1,0.01,0.89,"A",1.25,5.5,11
"2225",0.02,0,0.98,"H",1.57,3.4,7
"2226",0.01,0.11,0.88,"D",1.14,6.5,21
"2227",0.05,0.09,0.86,"H",2.1,3.25,3.4
"2228",0.01,0.04,0.95,"H",1.2,6,13
"2229",0.55,0.16,0.29,"H",6,4,1.5
"2230",0.17,0.05,0.78,"A",2.1,3.2,3.5
"2231",0.15,0.09,0.76,"A",0,0,0
"2232",0.05,0.07,0.88,"H",2.37,3.2,2.9
"2233",0,0,1,"H",1.25,5,9
"2234",0.04,0.2,0.76,"D",2.25,3.2,3.1
"2235",0.85,0.09,0.06,"D",6.5,3.75,1.53
"2236",0.11,0.35,0.54,"D",2.4,3.2,2.87
"2237",0.04,0.06,0.9,"H",2.1,3.2,3.5
"2238",0.01,0.04,0.95,"H",1.22,5.5,13
"2239",0.86,0.09,0.05,"A",4.2,3.4,1.83
"2240",0.04,0.33,0.63,"D",1.8,3.25,4.75
"2241",0.18,0.21,0.61,"A",2.2,3.25,3.2
"2242",0.01,0.17,0.82,"D",2.37,3.25,2.87
"2243",0,0.04,0.96,"H",1.2,6,13
"2244",0,0,1,"H",1.25,5.5,11
"2245",0.86,0.13,0.01,"A",6.5,3.75,1.53
"2246",0.12,0.11,0.77,"A",1.8,3.4,4.5
"2247",0.09,0.15,0.76,"H",1.57,3.6,6
"2248",0.05,0.02,0.93,"H",0,0,0
"2249",0.27,0.61,0.12,"D",2.87,3.2,2.4
"2250",0,0.03,0.97,"H",2.2,3.25,3.2
"2251",0.84,0.07,0.09,"A",4.5,3.4,1.8
"2252",0.08,0.56,0.36,"H",2.5,3.2,2.75
"2253",0.06,0.23,0.71,"D",1.8,3.4,4.33
"2254",0.06,0.05,0.89,"A",1.57,3.8,5.5
"2255",0,0.02,0.98,"H",1.83,3.3,4.33
"2256",0.91,0.01,0.08,"H",2.5,3.1,2.8
"2257",0.56,0,0.44,"A",2.5,3.2,2.75
"2258",0.25,0.09,0.66,"H",3.4,3.25,2.1
"2259",0.03,0.64,0.33,"D",1.9,3.3,4
"2260",0.11,0.05,0.84,"H",1.8,3.3,4.5
